name,id,attendance,max,grade,term,class,rgrade,perattend
8,278,17,21,76,1,2,76,80.95238095238095
65,378,18,21,67.4,1,2,67,85.71428571428571
89,76,17,21,42.3,1,2,42,80.95238095238095
139,406,12,21,36.7,1,2,37,57.14285714285714
225,442,16,21,79.8,1,2,80,76.19047619047619
266,129,16,21,79.7,1,2,80,76.19047619047619
287,460,7,21,68,1,2,68,33.33333333333333
289,309,19,21,82.6,1,2,83,90.47619047619048
328,435,21,21,94.4,1,2,94,100
338,328,21,21,97.5,1,2,98,100
370,18,20,21,83.8,1,2,84,95.23809523809523
487,310,19,21,90.5,1,2,90,90.47619047619048
490,254,18,21,90.2,1,2,90,85.71428571428571
50,9,18,20,83.25,2,2,83,90
68,279,17,20,59.2,2,2,59,85
87,387,16,20,80.85,2,2,81,80
162,257,19,20,79.95,2,2,80,95
184,155,20,20,87.6,2,2,88,100
185,137,17,20,90.35,2,2,90,85
252,259,20,20,87.7,2,2,88,100
263,307,13,20,25,2,2,25,65
296,238,18,20,78.1,2,2,78,90
298,389,18,20,80.35,2,2,80,90
299,338,13,20,66,2,2,66,65
329,151,16,20,83,2,2,83,80
348,482,17,20,80.95,2,2,81,85
361,433,15,20,64.75,2,2,65,75
417,330,8,20,19.5,2,2,20,40
428,376,20,20,100,2,2,100,100
465,412,15,20,68.45,2,2,68,75
1,420,19,20,94.625,1,3,95,95
19,66,20,20,80.375,1,3,80,100
58,54,17,20,84.75,1,3,85,85
65,378,18,20,81.125,1,3,81,90
70,341,9,20,20,1,3,20,45
79,463,14,20,61,1,3,61,70
111,248,1,20,33.25,1,3,33,5
115,374,19,20,80.5,1,3,80,95
117,295,18,20,88.75,1,3,89,90
132,244,14,20,71.875,1,3,72,70
139,406,12,20,54.25,1,3,54,60
148,62,17,20,85.625,1,3,86,85
155,308,16,20,84.75,1,3,85,80
156,38,20,20,87.875,1,3,88,100
165,301,18,20,87.875,1,3,88,90
182,247,19,20,80.125,1,3,80,95
196,305,19,20,75.125,1,3,75,95
203,483,7,20,46.875,1,3,47,35
218,468,17,20,84,1,3,84,85
226,2,17,20,82.875,1,3,83,85
228,219,17,20,56,1,3,56,85
230,334,15,20,76.75,1,3,77,75
247,303,14,20,69.375,1,3,69,70
255,256,20,20,93,1,3,93,100
280,436,18,20,90.375,1,3,90,90
282,14,19,20,85.25,1,3,85,95
293,424,20,20,88.125,1,3,88,100
294,324,16,20,82.5,1,3,82,80
296,238,17,20,85.125,1,3,85,85
298,389,18,20,82.75,1,3,83,90
316,255,15,20,55.125,1,3,55,75
322,250,17,20,99.125,1,3,99,85
323,4,19,20,95.625,1,3,96,95
335,455,16,20,72.5,1,3,72,80
341,83,20,20,90.375,1,3,90,100
352,421,11,20,50.25,1,3,50,55.00000000000001
386,177,19,20,79.375,1,3,79,95
389,246,19,20,89.875,1,3,90,95
394,335,17,20,84.625,1,3,85,85
416,393,13,20,53.75,1,3,54,65
438,107,16,20,81,1,3,81,80
454,8,7,20,49.625,1,3,50,35
459,61,19,20,94.75,1,3,95,95
465,412,15,20,90.5,1,3,90,75
469,31,19,20,86.5,1,3,86,95
487,310,17,20,91.625,1,3,92,85
492,352,15,20,81.375,1,3,81,75
6,34,16,18,90.125,5,4,90,88.88888888888889
7,410,16,18,90.1,5,4,90,88.88888888888889
14,190,16,18,86.65,5,4,87,88.88888888888889
30,211,3,18,45.25,5,4,45,16.666666666666664
36,77,15,18,77.375,5,4,77,83.33333333333334
41,267,15,18,70.2,5,4,70,83.33333333333334
95,55,10,18,51.075,5,4,51,55.55555555555556
101,234,16,18,88.35,5,4,88,88.88888888888889
114,351,15,18,97.7,5,4,98,83.33333333333334
115,374,15,18,83.425,5,4,83,83.33333333333334
140,272,14,18,80.1,5,4,80,77.77777777777779
153,398,16,18,89.1,5,4,89,88.88888888888889
158,167,13,18,76.85,5,4,77,72.22222222222221
180,316,17,18,92.025,5,4,92,94.44444444444444
190,353,17,18,91.9,5,4,92,94.44444444444444
193,382,16,18,92.05,5,4,92,88.88888888888889
197,112,16,18,90.3,5,4,90,88.88888888888889
219,361,15,18,90.05,5,4,90,83.33333333333334
246,358,16,18,82.9,5,4,83,88.88888888888889
301,139,14,18,77.075,5,4,77,77.77777777777779
315,491,16,18,59.05,5,4,59,88.88888888888889
328,435,17,18,99.3,5,4,99,94.44444444444444
386,177,16,18,80.7,5,4,81,88.88888888888889
389,246,16,18,69.5,5,4,70,88.88888888888889
396,323,13,18,73.75,5,4,74,72.22222222222221
410,314,16,18,54.15,5,4,54,88.88888888888889
423,364,15,18,81.425,5,4,81,83.33333333333334
429,296,14,18,83.05,5,4,83,77.77777777777779
438,107,14,18,75.525,5,4,76,77.77777777777779
440,479,14,18,85.7,5,4,86,77.77777777777779
442,438,3,18,30.1,5,4,30,16.666666666666664
457,114,18,18,74.725,5,4,75,100
489,23,14,18,79.5,5,4,80,77.77777777777779
493,425,17,18,86.975,5,4,87,94.44444444444444
12,15,17,19,49.6,2,1,50,89.47368421052632
38,458,17,19,79.2,2,1,79,89.47368421052632
60,404,19,19,84.1,2,1,84,100
75,90,17,19,72.8,2,1,73,89.47368421052632
76,227,15,19,85.5,2,1,86,78.94736842105263
84,25,16,19,69.6,2,1,70,84.21052631578947
92,36,18,19,86.4,2,1,86,94.73684210526315
93,133,17,19,62.2,2,1,62,89.47368421052632
94,388,19,19,84.7,2,1,85,100
123,322,18,19,75.5,2,1,76,94.73684210526315
128,401,15,19,85.1,2,1,85,78.94736842105263
134,141,19,19,73.9,2,1,74,100
137,485,14,19,67.9,2,1,68,73.68421052631578
141,432,18,19,66.4,2,1,66,94.73684210526315
